plate,mjd,fiberid,z,zErr,zWarning,class,bestObjID,objType,run,rerun,camCol,field,obj,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
1901,53261,394,-4.292505E-4,1.285317E-5,0,STAR,1237663479261692045,NONLEGACY,4192,301,4,222,141,19.371962,18.213699,18.173441,18.21546,18.251139,19.468063,18.261791,18.231726,18.259062,18.384962
674,52201,593,0.087342,8.622469E-6,0,GALAXY,1237663479261757662,NONLEGACY,4192,301,4,223,222,21.53665,20.265558,19.706974,19.317358,18.852964,20.106024,18.562595,17.908924,17.509762,17.301426
377,52145,593,0.087036,2.819146E-5,0,GALAXY,1237663479261757747,GALAXY,4192,301,4,223,307,21.562014,19.741861,18.889563,18.501013,18.095062,20.666986,18.649677,17.705778,17.294497,16.928402
674,52201,589,0.409053,1.391242E-4,0,GALAXY,1237663479261758038,NONLEGACY,4192,301,4,223,598,24.996906,22.279608,20.638844,19.99856,19.422642,28.117924,21.556929,19.615593,18.926661,18.55764
1101,52621,157,7.964945E-5,9.55136E-6,0,STAR,1237663543150313480,NONLEGACY,4207,301,3,237,8,17.2945,15.983506,15.445647,15.224772,15.135895,17.369806,16.038357,15.488919,15.301069,15.216708
1900,53262,306,-4.121366E-4,2.653233E-5,0,STAR,1237663543150313546,NONLEGACY,4207,301,3,237,74,18.949129,17.774902,17.436014,17.27747,17.214556,19.008041,17.810324,17.483833,17.353914,17.335329
1900,53262,318,-1.21717E-4,1.075154E-5,0,STAR,1237663543150313824,NONLEGACY,4207,301,3,237,352,19.772242,18.248127,17.608616,17.586296,17.225916,19.791176,18.333689,17.672735,17.544262,17.276821
1101,52621,560,2.44478E-4,3.453429E-5,0,STAR,1237663543150313857,NONLEGACY,4207,301,3,237,385,22.99464,20.660686,19.261581,18.484564,17.961428,22.888029,20.731739,19.311422,18.559975,18.04747
674,52201,105,0.448879,1.680216E-4,0,GALAXY,1237663543150314049,NONLEGACY,4207,301,3,237,577,23.853691,22.649364,20.945681,20.124016,19.652617,22.377043,22.499474,20.351919,19.512678,18.928709
675,52590,309,0.418721,1.803277E-4,0,GALAXY,1237663543150314062,NONLEGACY,4207,301,3,237,590,24.692305,22.200665,20.475338,19.731853,19.262596,22.305254,21.791458,19.692316,19.027994,18.445841
674,52201,113,0.451163,2.035328E-4,0,GALAXY,1237663543150314101,NONLEGACY,4207,301,3,237,629,23.84968,22.562517,20.858044,20.001274,19.446745,27.028996,24.044991,19.98307,19.42276,18.345072
1037,52878,516,0.245965,2.771211E-5,0,GALAXY,1237663543150314353,NONLEGACY,4207,301,3,237,881,22.726858,21.326332,20.344307,19.861353,19.338253,20.602388,19.885927,18.871866,18.401672,18.154339
675,52590,307,-5.122939E-4,4.869713E-6,0,STAR,1237663543150379070,NONLEGACY,4207,301,3,238,62,17.103666,15.800573,15.851695,15.919226,15.9787,17.153173,15.865612,15.915871,15.999762,16.052412
1900,53262,272,-1.781066E-4,1.284966E-5,0,STAR,1237663543150379202,NONLEGACY,4207,301,3,238,194,17.391277,16.325672,15.812402,15.576823,15.466968,17.460943,16.383463,15.879406,15.655691,15.55063
378,52146,306,0.085337,2.056799E-5,0,GALAXY,1237663543150379221,GALAXY,4207,301,3,238,213,21.105406,18.973528,18.278563,17.771971,17.190418,18.931562,17.120348,16.135633,15.6653,15.330352
1901,53261,316,-1.143627E-3,2.04629E-5,0,STAR,1237663543150379235,NONLEGACY,4207,301,3,238,227,19.779556,18.807137,18.40847,18.237379,18.137526,19.817099,18.880737,18.467001,18.302902,18.153093
1101,52621,115,2.659406E-6,1.183134E-5,0,STAR,1237663543150379258,NONLEGACY,4207,301,3,238,250,21.957041,19.251274,17.776089,16.626921,15.99856,22.157057,19.350185,17.850725,16.71356,16.084167
378,52146,304,0.129653,7.2457E-6,0,GALAXY,1237663543150379290,QSO,4207,301,3,238,282,21.249626,20.070547,19.92716,19.626143,19.302624,19.317825,18.366325,17.935839,17.579437,17.486893
